Team,Number,Position,Age,Weight,Salary,HeightInInches,dummies_C,dummies_PF,dummies_PG,dummies_SF,dummies_SG
Toronto Raptors,1.0,PF,29.0,250.0,245177.0,83,False,True,False,False,False
Toronto Raptors,17.0,C,24.0,255.0,4660482.0,84,True,False,False,False,False
Toronto Raptors,55.0,PG,24.0,190.0,1509360.0,77,False,False,True,False,False
Golden State Warriors,19.0,SG,33.0,194.0,2500000.0,75,False,False,False,False,True
Golden State Warriors,40.0,SF,24.0,225.0,3873398.0,80,False,False,False,True,False
Golden State Warriors,12.0,C,31.0,260.0,13800000.0,84,True,False,False,False,False
Golden State Warriors,21.0,SG,25.0,175.0,947276.0,75,False,False,False,False,True
Golden State Warriors,30.0,PG,28.0,190.0,11370786.0,75,False,False,True,False,False
Golden State Warriors,31.0,C,26.0,265.0,2008748.0,83,True,False,False,False,False
Golden State Warriors,23.0,PF,26.0,230.0,14260870.0,79,False,True,False,False,False
Golden State Warriors,9.0,SF,32.0,215.0,11710456.0,78,False,False,False,True,False
Golden State Warriors,34.0,PG,30.0,192.0,5543725.0,79,False,False,True,False,False
Golden State Warriors,36.0,SF,20.0,220.0,1131960.0,81,False,False,False,True,False
Golden State Warriors,20.0,SF,23.0,240.0,845059.0,81,False,False,False,True,False
Golden State Warriors,4.0,SF,30.0,220.0,1270964.0,78,False,False,False,True,False
Golden State Warriors,5.0,C,28.0,255.0,3815000.0,82,True,False,False,False,False
Golden State Warriors,11.0,SG,26.0,215.0,15501000.0,79,False,False,False,False,True
Golden State Warriors,18.0,PF,33.0,273.0,289755.0,83,False,True,False,False,False
Los Angeles Clippers,45.0,C,27.0,250.0,1100602.0,83,True,False,False,False,False
Los Angeles Clippers,19.0,PF,29.0,250.0,111444.0,81,False,True,False,False,False
Los Angeles Clippers,11.0,SG,36.0,195.0,5675000.0,77,False,False,False,False,True
Los Angeles Clippers,22.0,SF,23.0,225.0,525093.0,78,False,False,False,True,False
Los Angeles Clippers,8.0,SF,29.0,235.0,9650000.0,81,False,False,False,True,False
Los Angeles Clippers,32.0,PF,27.0,251.0,18907726.0,82,False,True,False,False,False
Los Angeles Clippers,33.0,SF,28.0,215.0,1100602.0,79,False,False,False,True,False
Los Angeles Clippers,6.0,C,27.0,265.0,19689000.0,83,True,False,False,False,False
Los Angeles Clippers,12.0,PF,29.0,230.0,947276.0,80,False,True,False,False,False
Los Angeles Clippers,3.0,PG,31.0,175.0,21468695.0,72,False,False,True,False,False
Los Angeles Clippers,34.0,SF,38.0,235.0,3376000.0,79,False,False,False,True,False
Los Angeles Clippers,9.0,PG,39.0,185.0,947726.0,75,False,False,True,False,False
Los Angeles Clippers,4.0,SG,31.0,190.0,7085000.0,76,False,False,False,False,True
Los Angeles Clippers,25.0,PG,23.0,200.0,3110796.0,76,False,False,True,False,False
Los Angeles Clippers,30.0,SG,25.0,195.0,1159680.0,77,False,False,False,False,True
Los Angeles Lakers,2.0,PF,31.0,250.0,3000000.0,80,False,True,False,False,False
Los Angeles Lakers,28.0,C,24.0,250.0,845059.0,81,True,False,False,False,False
Los Angeles Lakers,3.0,SF,23.0,210.0,700000.0,79,False,False,False,True,False
Los Angeles Lakers,24.0,SF,37.0,212.0,25000000.0,78,False,False,False,True,False
Los Angeles Lakers,6.0,PG,24.0,194.0,845059.0,77,False,False,True,False,False
Los Angeles Lakers,17.0,C,29.0,270.0,15592217.0,86,True,False,False,False,False
Los Angeles Lakers,9.0,PG,33.0,200.0,525093.0,75,False,False,True,False,False
Los Angeles Lakers,4.0,PF,25.0,230.0,1724250.0,83,False,True,False,False,False
Los Angeles Lakers,7.0,PF,23.0,230.0,1155600.0,81,False,True,False,False,False
Los Angeles Lakers,30.0,PF,21.0,250.0,3132240.0,81,False,True,False,False,False
Los Angeles Lakers,1.0,PG,20.0,195.0,5103120.0,77,False,False,True,False,False
Los Angeles Lakers,50.0,C,27.0,270.0,981348.0,84,True,False,False,False,False
Los Angeles Lakers,23.0,SG,29.0,175.0,7000000.0,73,False,False,False,False,True
Los Angeles Lakers,37.0,SF,36.0,260.0,947276.0,79,False,False,False,True,False
Los Angeles Lakers,0.0,SF,31.0,210.0,5219169.0,79,False,False,False,True,False
Phoenix Suns,2.0,PG,26.0,190.0,13500000.0,73,False,False,True,False,False
Phoenix Suns,1.0,SG,19.0,206.0,2127840.0,78,False,False,False,False,True
Phoenix Suns,10.0,SF,28.0,209.0,206192.0,79,False,False,False,True,False
Phoenix Suns,4.0,C,33.0,240.0,13000000.0,85,True,False,False,False,False
Phoenix Suns,20.0,SG,21.0,200.0,1160160.0,77,False,False,False,False,True
Phoenix Suns,23.0,SG,25.0,215.0,981348.0,76,False,False,False,False,True
Phoenix Suns,3.0,PG,24.0,189.0,13500000.0,75,False,False,True,False,False
Phoenix Suns,21.0,C,22.0,260.0,3807120.0,85,True,False,False,False,False
Phoenix Suns,30.0,PF,27.0,228.0,1035000.0,82,False,True,False,False,False
Phoenix Suns,25.0,PG,25.0,175.0,55722.0,71,False,False,True,False,False
Phoenix Suns,14.0,PG,32.0,190.0,947276.0,74,False,False,True,False,False
Phoenix Suns,35.0,PF,30.0,242.0,5500000.0,81,False,True,False,False,False
Phoenix Suns,17.0,SF,31.0,245.0,5500000.0,78,False,False,False,True,False
Phoenix Suns,12.0,SF,22.0,230.0,2041080.0,80,False,False,False,True,False
Phoenix Suns,15.0,C,23.0,260.0,83397.0,80,True,False,False,False,False
Sacramento Kings,13.0,SF,25.0,240.0,981348.0,79,False,False,False,True,False
Sacramento Kings,5.0,SG,27.0,213.0,1015421.0,78,False,False,False,False,True
Sacramento Kings,3.0,SG,30.0,210.0,6060606.0,77,False,False,False,False,True
Sacramento Kings,31.0,SF,36.0,228.0,1449187.0,79,False,False,False,True,False
Sacramento Kings,18.0,SF,27.0,225.0,2836186.0,81,False,False,False,True,False
Sacramento Kings,0.0,C,22.0,240.0,3398280.0,84,True,False,False,False,False
Sacramento Kings,7.0,PG,28.0,175.0,5013559.0,72,False,False,True,False,False
Sacramento Kings,15.0,C,25.0,270.0,15851950.0,83,True,False,False,False,False
Sacramento Kings,30.0,SG,25.0,185.0,947276.0,74,False,False,False,False,True
Sacramento Kings,26.0,PF,24.0,220.0,525093.0,81,False,True,False,False,False
Sacramento Kings,8.0,SF,29.0,230.0,12403101.0,80,False,False,False,True,False
Sacramento Kings,41.0,C,27.0,265.0,7700000.0,84,True,False,False,False,False
Sacramento Kings,23.0,SG,23.0,195.0,3156600.0,77,False,False,False,False,True
Sacramento Kings,25.0,PF,24.0,238.0,845059.0,82,False,True,False,False,False
Sacramento Kings,9.0,PG,30.0,186.0,9500000.0,73,False,False,True,False,False
Chicago Bulls,41.0,PF,25.0,250.0,845059.0,81,False,True,False,False,False
Chicago Bulls,0.0,PG,31.0,161.0,2250000.0,72,False,False,True,False,False
Chicago Bulls,21.0,SG,26.0,220.0,16407500.0,79,False,False,False,False,True
Chicago Bulls,34.0,SG,35.0,230.0,4500000.0,81,False,False,False,False,True
Chicago Bulls,6.0,PF,23.0,275.0,525093.0,82,False,True,False,False,False
Chicago Bulls,16.0,C,35.0,250.0,7448760.0,84,True,False,False,False,False
Chicago Bulls,22.0,PF,30.0,225.0,8500000.0,81,False,True,False,False,False
Chicago Bulls,7.0,SG,27.0,185.0,947276.0,78,False,False,False,False,True
Chicago Bulls,3.0,SF,24.0,225.0,2380440.0,80,False,False,False,True,False
Chicago Bulls,44.0,PF,25.0,220.0,5543725.0,82,False,True,False,False,False
Chicago Bulls,55.0,SG,27.0,191.0,1015421.0,76,False,False,False,False,True
Chicago Bulls,13.0,C,31.0,232.0,13400000.0,83,True,False,False,False,False
Chicago Bulls,5.0,PF,21.0,230.0,1391160.0,83,False,True,False,False,False
Chicago Bulls,1.0,PG,27.0,190.0,20093064.0,75,False,False,True,False,False
Chicago Bulls,20.0,SF,24.0,200.0,1535880.0,79,False,False,False,True,False
Cleveland Cavaliers,8.0,PG,25.0,198.0,1147276.0,76,False,False,True,False,False
Cleveland Cavaliers,9.0,PF,33.0,255.0,8193029.0,83,False,True,False,False,False
Cleveland Cavaliers,2.0,PG,24.0,193.0,16407501.0,75,False,False,True,False,False
Cleveland Cavaliers,23.0,SF,31.0,250.0,22970500.0,80,False,False,False,True,False
Cleveland Cavaliers,24.0,SF,35.0,233.0,947276.0,79,False,False,False,True,False
Cleveland Cavaliers,30.0,SG,35.0,225.0,4842684.105381166,78,False,False,False,False,True
Cleveland Cavaliers,1.0,SG,35.0,218.0,947276.0,80,False,False,False,False,True
Cleveland Cavaliers,14.0,C,31.0,260.0,1276000.0,83,True,False,False,False,False
Cleveland Cavaliers,0.0,PF,27.0,251.0,19689000.0,82,False,True,False,False,False
Cleveland Cavaliers,12.0,SG,25.0,179.0,111196.0,77,False,False,False,False,True
Cleveland Cavaliers,20.0,C,29.0,275.0,4950000.0,85,True,False,False,False,False
Cleveland Cavaliers,4.0,SG,25.0,220.0,8988765.0,77,False,False,False,False,True
Cleveland Cavaliers,5.0,SG,30.0,225.0,5000000.0,78,False,False,False,False,True
Cleveland Cavaliers,13.0,C,25.0,238.0,14260870.0,81,True,False,False,False,False
Cleveland Cavaliers,52.0,PG,33.0,198.0,2100000.0,73,False,False,True,False,False
Detroit Pistons,50.0,C,33.0,245.0,2500000.0,81,True,False,False,False,False
Detroit Pistons,12.0,C,29.0,260.0,6500000.0,82,True,False,False,False,False
Detroit Pistons,22.0,PG,36.0,172.0,2170465.0,75,False,False,True,False,False
Detroit Pistons,17.0,PG,25.0,189.0,111444.0,77,False,False,True,False,False
Detroit Pistons,25.0,SF,25.0,205.0,1252440.0,79,False,False,False,True,False
Detroit Pistons,5.0,SG,23.0,205.0,2891760.0,77,False,False,False,False,True
Detroit Pistons,8.0,PG,23.0,200.0,845059.0,78,False,False,True,False,False
Detroit Pistons,0.0,C,22.0,279.0,3272091.0,83,True,False,False,False,False
Detroit Pistons,34.0,SF,23.0,235.0,16000000.0,81,False,False,False,True,False
Detroit Pistons,6.0,SF,23.0,205.0,600000.0,78,False,False,False,True,False
Detroit Pistons,1.0,PG,26.0,208.0,13913044.0,75,False,False,True,False,False
Detroit Pistons,3.0,SF,20.0,245.0,2841960.0,79,False,False,False,True,False
Detroit Pistons,20.0,SG,28.0,210.0,6270000.0,76,False,False,False,False,True
Detroit Pistons,13.0,PF,26.0,235.0,5000000.0,81,False,True,False,False,False
Detroit Pistons,43.0,PF,31.0,240.0,3000000.0,80,False,True,False,False,False
Indiana Pacers,5.0,PF,27.0,255.0,4050000.0,81,False,True,False,False,False
Indiana Pacers,25.0,PF,24.0,250.0,1007026.0,81,False,True,False,False,False
Indiana Pacers,11.0,SG,30.0,185.0,10300000.0,75,False,False,False,False,True
Indiana Pacers,13.0,SF,26.0,220.0,17120106.0,81,False,False,False,True,False
Indiana Pacers,3.0,PG,30.0,188.0,8000000.0,75,False,False,True,False,False
Indiana Pacers,27.0,C,28.0,235.0,4000000.0,82,True,False,False,False,False
Indiana Pacers,44.0,SF,25.0,225.0,1358880.0,79,False,False,False,True,False
Indiana Pacers,10.0,PG,28.0,195.0,211744.0,71,False,False,True,False,False
Indiana Pacers,28.0,C,29.0,250.0,4000000.0,83,True,False,False,False,False
Indiana Pacers,0.0,SF,29.0,231.0,4394225.0,78,False,False,False,True,False
Indiana Pacers,40.0,SG,22.0,222.0,1100000.0,79,False,False,False,False,True
Indiana Pacers,2.0,PG,30.0,205.0,7000000.0,77,False,False,True,False,False
Indiana Pacers,33.0,PF,20.0,243.0,2357760.0,83,False,True,False,False,False
Indiana Pacers,42.0,PF,25.0,250.0,845059.0,83,False,True,False,False,False
Indiana Pacers,1.0,PG,23.0,180.0,1007026.0,74,False,False,True,False,False
Milwaukee Bucks,34.0,SF,21.0,222.0,1953960.0,83,False,False,False,True,False
Milwaukee Bucks,19.0,PG,27.0,200.0,3000000.0,75,False,False,True,False,False
Milwaukee Bucks,5.0,PG,24.0,190.0,2399040.0,78,False,False,True,False,False
Milwaukee Bucks,9.0,SG,25.0,195.0,947276.0,76,False,False,False,False,True
Milwaukee Bucks,11.0,PG,21.0,194.0,1662360.0,75,False,False,True,False,False
Milwaukee Bucks,31.0,PF,25.0,229.0,2943221.0,83,False,True,False,False,False
Milwaukee Bucks,17.0,SF,21.0,246.0,855000.0,80,False,False,False,True,False
Milwaukee Bucks,3.0,SG,28.0,210.0,8000000.0,77,False,False,False,False,True
Milwaukee Bucks,22.0,SG,24.0,234.0,14700000.0,80,False,False,False,False,True
Milwaukee Bucks,15.0,C,26.0,265.0,16407500.0,83,True,False,False,False,False
Milwaukee Bucks,6.0,SF,32.0,225.0,295327.0,82,False,False,False,True,False
Milwaukee Bucks,77.0,PF,23.0,257.0,845059.0,81,False,True,False,False,False
Milwaukee Bucks,12.0,PF,21.0,250.0,5152440.0,80,False,True,False,False,False
Milwaukee Bucks,18.0,C,27.0,249.0,2109294.0,83,True,False,False,False,False
Milwaukee Bucks,21.0,PG,29.0,217.0,6600000.0,78,False,False,True,False,False
Milwaukee Bucks,20.0,SG,19.0,202.0,1733040.0,78,False,False,False,False,True
Dallas Mavericks,1.0,SG,22.0,228.0,1449000.0,78,False,False,False,False,True
Dallas Mavericks,5.0,PG,31.0,185.0,4290000.0,72,False,False,True,False,False
Dallas Mavericks,21.0,SF,28.0,200.0,1100602.0,81,False,False,False,True,False
Dallas Mavericks,2.0,PG,31.0,205.0,3950313.0,73,False,False,True,False,False
Dallas Mavericks,34.0,PG,33.0,185.0,4053446.0,75,False,False,True,False,False
Dallas Mavericks,42.0,PF,33.0,245.0,2085671.0,81,False,True,False,False,False
Dallas Mavericks,23.0,SG,29.0,220.0,16407500.0,77,False,False,False,False,True
Dallas Mavericks,11.0,C,28.0,270.0,1270964.0,84,True,False,False,False,False
Dallas Mavericks,50.0,C,29.0,245.0,525093.0,86,True,False,False,False,False
Dallas Mavericks,41.0,PF,37.0,245.0,8333334.0,84,False,True,False,False,False
Dallas Mavericks,27.0,C,32.0,275.0,5200000.0,83,True,False,False,False,False
Dallas Mavericks,25.0,SF,27.0,230.0,15361500.0,82,False,False,False,True,False
Dallas Mavericks,7.0,PF,24.0,240.0,845059.0,83,False,True,False,False,False
Dallas Mavericks,3.0,PF,31.0,232.0,947276.0,83,False,True,False,False,False
Dallas Mavericks,8.0,PG,31.0,200.0,5378974.0,75,False,False,True,False,False
Houston Rockets,1.0,SF,30.0,215.0,8193030.0,80,False,False,False,True,False
Houston Rockets,8.0,SF,27.0,235.0,306527.0,82,False,False,False,True,False
Houston Rockets,2.0,PG,27.0,185.0,6486486.0,73,False,False,True,False,False
Houston Rockets,33.0,SG,30.0,186.0,8229375.0,81,False,False,False,False,True
Houston Rockets,15.0,PF,22.0,240.0,1242720.0,82,False,True,False,False,False
Houston Rockets,7.0,SF,22.0,230.0,1646400.0,81,False,False,False,True,False
Houston Rockets,0.0,PG,27.0,200.0,200600.0,75,False,False,True,False,False
Houston Rockets,13.0,SG,26.0,220.0,15756438.0,77,False,False,False,False,True
Houston Rockets,35.0,PF,22.0,240.0,1000000.0,80,False,True,False,False,False
Houston Rockets,12.0,C,30.0,265.0,22359364.0,83,True,False,False,False,False
Houston Rockets,6.0,PF,24.0,252.0,2489530.0,81,False,True,False,False,False
Houston Rockets,32.0,SG,23.0,205.0,3189794.0,78,False,False,False,False,True
Houston Rockets,20.0,PF,25.0,222.0,2288205.0,84,False,True,False,False,False
Houston Rockets,5.0,C,30.0,225.0,947276.0,81,True,False,False,False,False
Houston Rockets,31.0,SG,38.0,185.0,947276.0,74,False,False,False,False,True
Memphis Grizzlies,3.0,SG,21.0,209.0,1404600.0,77,False,False,False,False,True
Memphis Grizzlies,9.0,SG,34.0,213.0,5158539.0,76,False,False,False,False,True
Memphis Grizzlies,7.0,PF,37.0,245.0,5000000.0,82,False,True,False,False,False
Memphis Grizzlies,22.0,SF,36.0,226.0,3542500.0,79,False,False,False,True,False
Memphis Grizzlies,15.0,SG,39.0,220.0,4088019.0,78,False,False,False,False,True
Memphis Grizzlies,11.0,PG,28.0,175.0,9588426.0,73,False,False,True,False,False
Memphis Grizzlies,8.0,PG,23.0,165.0,700902.0,73,False,False,True,False,False
Memphis Grizzlies,4.0,PG,29.0,180.0,4842684.105381166,74,False,False,True,False,False
Memphis Grizzlies,33.0,C,31.0,255.0,19688000.0,85,True,False,False,False,False
Memphis Grizzlies,0.0,PF,25.0,227.0,845059.0,81,False,True,False,False,False
Memphis Grizzlies,19.0,SF,23.0,230.0,1201440.0,78,False,False,False,True,False
Memphis Grizzlies,10.0,PF,22.0,239.0,1230840.0,82,False,True,False,False,False
Memphis Grizzlies,5.0,PG,24.0,190.0,4842684.105381166,75,False,False,True,False,False
Memphis Grizzlies,14.0,PG,24.0,180.0,4842684.105381166,75,False,False,True,False,False
Memphis Grizzlies,50.0,PF,34.0,260.0,9638555.0,81,False,True,False,False,False
Memphis Grizzlies,1.0,SF,25.0,230.0,9000000.0,77,False,False,False,True,False
Memphis Grizzlies,35.0,PF,28.0,270.0,4842684.105381166,82,False,True,False,False,False
Memphis Grizzlies,34.0,PF,28.0,210.0,5464000.0,82,False,True,False,False,False
New Orleans Pelicans,42.0,C,28.0,248.0,4389607.0,86,True,False,False,False,False
New Orleans Pelicans,33.0,PF,28.0,240.0,8500000.0,82,False,True,False,False,False
New Orleans Pelicans,3.0,C,29.0,255.0,9213483.0,84,True,False,False,False,False
New Orleans Pelicans,8.0,SF,26.0,225.0,1100602.0,81,False,False,False,True,False
New Orleans Pelicans,30.0,PG,27.0,175.0,3036927.0,74,False,False,True,False,False
New Orleans Pelicans,44.0,PF,29.0,230.0,2850000.0,80,False,True,False,False,False
New Orleans Pelicans,23.0,PF,23.0,253.0,7070730.0,82,False,True,False,False,False
New Orleans Pelicans,31.0,SG,23.0,203.0,169883.0,78,False,False,False,False,True
New Orleans Pelicans,16.0,PG,30.0,195.0,1164858.0,74,False,False,True,False,False
New Orleans Pelicans,4.0,SF,25.0,210.0,845059.0,79,False,False,False,True,False
New Orleans Pelicans,1.0,SG,26.0,220.0,10734586.0,78,False,False,False,False,True
New Orleans Pelicans,2.0,PG,25.0,170.0,845059.0,73,False,False,True,False,False
New Orleans Pelicans,15.0,SF,29.0,225.0,1320000.0,78,False,False,False,True,False
New Orleans Pelicans,10.0,SG,27.0,215.0,15514031.0,76,False,False,False,False,True
New Orleans Pelicans,25.0,SG,25.0,220.0,1015421.0,79,False,False,False,False,True
New Orleans Pelicans,11.0,PG,25.0,205.0,10595507.0,76,False,False,True,False,False
New Orleans Pelicans,0.0,SG,27.0,220.0,55722.0,77,False,False,False,False,True
New Orleans Pelicans,5.0,C,31.0,270.0,947276.0,82,True,False,False,False,False
New Orleans Pelicans,20.0,SF,28.0,220.0,3382023.0,79,False,False,False,True,False
San Antonio Spurs,12.0,PF,30.0,240.0,19689000.0,83,False,True,False,False,False
San Antonio Spurs,1.0,SF,22.0,230.0,1142880.0,81,False,False,False,True,False
San Antonio Spurs,15.0,C,36.0,235.0,947276.0,82,True,False,False,False,False
San Antonio Spurs,33.0,C,34.0,250.0,7500000.0,80,True,False,False,False,False
San Antonio Spurs,21.0,C,40.0,250.0,5250000.0,83,True,False,False,False,False
San Antonio Spurs,20.0,SG,38.0,205.0,2814000.0,78,False,False,False,False,True
San Antonio Spurs,14.0,SG,28.0,215.0,10000000.0,78,False,False,False,False,True
San Antonio Spurs,2.0,SF,24.0,230.0,16407500.0,79,False,False,False,True,False
San Antonio Spurs,40.0,C,27.0,290.0,1200000.0,87,True,False,False,False,False
San Antonio Spurs,23.0,SG,33.0,199.0,200600.0,79,False,False,False,False,True
San Antonio Spurs,24.0,PG,40.0,200.0,250750.0,75,False,False,True,False,False
San Antonio Spurs,8.0,PG,27.0,185.0,3578947.0,72,False,False,True,False,False
San Antonio Spurs,9.0,PG,34.0,185.0,13437500.0,74,False,False,True,False,False
San Antonio Spurs,17.0,SG,26.0,195.0,525093.0,78,False,False,False,False,True
San Antonio Spurs,30.0,PF,35.0,250.0,1499187.0,81,False,True,False,False,False
Atlanta Hawks,24.0,SF,26.0,201.0,2000000.0,77,False,False,False,True,False
Atlanta Hawks,10.0,SG,24.0,205.0,1304520.0,78,False,False,False,False,True
Atlanta Hawks,12.0,SG,35.0,190.0,2854940.0,76,False,False,False,False,True
Atlanta Hawks,15.0,C,30.0,245.0,12000000.0,82,True,False,False,False,False
Atlanta Hawks,43.0,PF,31.0,235.0,1000000.0,81,False,True,False,False,False
Atlanta Hawks,26.0,SG,35.0,212.0,5746479.0,79,False,False,False,False,True
Atlanta Hawks,4.0,PF,31.0,246.0,18671659.0,80,False,True,False,False,False
Atlanta Hawks,31.0,PF,24.0,240.0,947276.0,83,False,True,False,False,False
Atlanta Hawks,13.0,SG,24.0,225.0,525093.0,77,False,False,False,False,True
Atlanta Hawks,17.0,PG,22.0,172.0,1763400.0,73,False,False,True,False,False
Atlanta Hawks,32.0,PF,27.0,237.0,3333333.0,80,False,True,False,False,False
Atlanta Hawks,25.0,SF,32.0,220.0,4000000.0,79,False,False,False,True,False
Atlanta Hawks,11.0,C,31.0,245.0,9756250.0,83,True,False,False,False,False
Atlanta Hawks,22.0,C,24.0,260.0,1000000.0,87,True,False,False,False,False
Atlanta Hawks,0.0,PG,27.0,186.0,8000000.0,74,False,False,True,False,False
Charlotte Hornets,5.0,SG,27.0,200.0,13125306.0,80,False,False,False,False,True
Charlotte Hornets,30.0,SG,24.0,205.0,947276.0,76,False,False,False,False,True
Charlotte Hornets,12.0,PG,27.0,189.0,189455.0,75,False,False,True,False,False
Charlotte Hornets,50.0,PF,30.0,250.0,947276.0,81,False,True,False,False,False
Charlotte Hornets,9.0,SG,21.0,210.0,525093.0,78,False,False,False,False,True
