Team,Number,Position,Age,Weight,HeightInInches,Salary,Position_C,Position_PF,Position_PG,Position_SF,Position_SG
Sacramento Kings,23.0,SG,23.0,195.0,77,3156600.0,0,0,0,0,1
Utah Jazz,3.0,PG,23.0,191.0,73,2658240.0,0,0,1,0,0
Portland Trail Blazers,44.0,SG,23.0,185.0,79,525093.0,0,0,0,0,1
Indiana Pacers,1.0,PG,23.0,180.0,74,1007026.0,0,0,1,0,0
Brooklyn Nets,0.0,PG,23.0,175.0,71,1500000.0,0,0,1,0,0
Memphis Grizzlies,8.0,PG,23.0,165.0,73,700902.0,0,0,1,0,0
Miami Heat,12.0,PG,23.0,165.0,74,4842684.105381166,0,0,1,0,0
Utah Jazz,15.0,PF,24.0,265.0,82,12000000.0,0,1,0,0,0
BC,7.0,C,24.0,260.0,81,2569260.0,1,0,0,0,0
Atlanta Hawks,22.0,C,24.0,260.0,87,1000000.0,1,0,0,0,0
Toronto Raptors,17.0,C,24.0,255.0,84,4660482.0,1,0,0,0,0
Oklahoma City Thunder,33.0,PF,24.0,255.0,82,1463040.0,0,1,0,0,0
Houston Rockets,6.0,PF,24.0,252.0,81,2489530.0,0,1,0,0,0
Los Angeles Lakers,28.0,C,24.0,250.0,81,845059.0,1,0,0,0,0
Indiana Pacers,25.0,PF,24.0,250.0,81,1007026.0,0,1,0,0,0
Oklahoma City Thunder,11.0,C,24.0,245.0,83,16407500.0,1,0,0,0,0
Portland Trail Blazers,11.0,PF,24.0,245.0,85,3075880.0,0,1,0,0,0
Dallas Mavericks,7.0,PF,24.0,240.0,83,845059.0,0,1,0,0,0
Atlanta Hawks,31.0,PF,24.0,240.0,83,947276.0,0,1,0,0,0
Sacramento Kings,25.0,PF,24.0,238.0,82,845059.0,0,1,0,0,0
Milwaukee Bucks,22.0,SG,24.0,234.0,80,14700000.0,0,0,0,0,1
San Antonio Spurs,2.0,SF,24.0,230.0,79,16407500.0,0,0,0,1,0
Oklahoma City Thunder,34.0,SF,24.0,230.0,79,1140240.0,0,0,0,1,0
Golden State Warriors,40.0,SF,24.0,225.0,80,3873398.0,0,0,0,1,0
Chicago Bulls,3.0,SF,24.0,225.0,80,2380440.0,0,0,0,1,0
Atlanta Hawks,13.0,SG,24.0,225.0,77,525093.0,0,0,0,0,1
Sacramento Kings,26.0,PF,24.0,220.0,81,525093.0,0,1,0,0,0
Denver Nuggets,77.0,C,24.0,220.0,83,1709719.0,1,0,0,0,0
Oklahoma City Thunder,3.0,SG,24.0,220.0,76,5138430.0,0,0,0,0,1
Washington Wizards,8.0,SG,24.0,218.0,79,561716.0,0,0,0,0,1
Utah Jazz,10.0,SG,24.0,214.0,78,9463484.0,0,0,0,0,1
Orlando Magic,5.0,SG,24.0,210.0,76,5192520.0,0,0,0,0,1
Oklahoma City Thunder,21.0,SG,24.0,210.0,79,1210800.0,0,0,0,0,1
Portland Trail Blazers,23.0,SG,24.0,210.0,78,947276.0,0,0,0,0,1
Atlanta Hawks,10.0,SG,24.0,205.0,78,1304520.0,0,0,0,0,1
Charlotte Hornets,30.0,SG,24.0,205.0,76,947276.0,0,0,0,0,1
New York Knicks,2.0,SG,24.0,200.0,74,845059.0,0,0,0,0,1
Philadelphia 76ers,5.0,PG,24.0,200.0,76,2144772.0,0,0,1,0,0
Philadelphia 76ers,12.0,PG,24.0,200.0,74,525093.0,0,0,1,0,0
Chicago Bulls,20.0,SF,24.0,200.0,79,1535880.0,0,0,0,1,0
Portland Trail Blazers,3.0,SG,24.0,200.0,76,2525160.0,0,0,0,0,1
Los Angeles Lakers,6.0,PG,24.0,194.0,77,845059.0,0,0,1,0,0
Cleveland Cavaliers,2.0,PG,24.0,193.0,75,16407501.0,0,0,1,0,0
Brooklyn Nets,22.0,SG,24.0,190.0,75,845059.0,0,0,0,0,1
Toronto Raptors,6.0,PG,24.0,190.0,75,7000000.0,0,0,1,0,0
Toronto Raptors,55.0,PG,24.0,190.0,77,1509360.0,0,0,1,0,0
Milwaukee Bucks,5.0,PG,24.0,190.0,78,2399040.0,0,0,1,0,0
Memphis Grizzlies,5.0,PG,24.0,190.0,75,4842684.105381166,0,0,1,0,0
Phoenix Suns,3.0,PG,24.0,189.0,75,13500000.0,0,0,1,0,0
Miami Heat,8.0,SG,24.0,186.0,76,845059.0,0,0,0,0,1
Charlotte Hornets,3.0,SG,24.0,185.0,77,3034356.0,0,0,0,0,1
Memphis Grizzlies,14.0,PG,24.0,180.0,75,4842684.105381166,0,0,1,0,0
Utah Jazz,25.0,PG,24.0,179.0,73,900000.0,0,0,1,0,0
Orlando Magic,13.0,PG,24.0,175.0,73,1294440.0,0,0,1,0,0
Sacramento Kings,15.0,C,25.0,270.0,83,15851950.0,1,0,0,0,0
Orlando Magic,9.0,C,25.0,260.0,84,11250000.0,1,0,0,0,0
Chicago Bulls,41.0,PF,25.0,250.0,81,845059.0,0,1,0,0,0
Indiana Pacers,42.0,PF,25.0,250.0,83,845059.0,0,1,0,0,0
Minnesota Timberwolves,4.0,PF,25.0,250.0,82,4842684.105381166,0,1,0,0,0
New York Knicks,23.0,PF,25.0,240.0,80,4000000.0,0,1,0,0,0
Sacramento Kings,13.0,SF,25.0,240.0,79,981348.0,0,0,0,1,0
BC,41.0,C,25.0,238.0,84,2165160.0,1,0,0,0,0
Cleveland Cavaliers,13.0,C,25.0,238.0,81,14260870.0,1,0,0,0,0
Brooklyn Nets,41.0,PF,25.0,237.0,82,981348.0,0,1,0,0,0
Minnesota Timberwolves,33.0,PF,25.0,237.0,82,1938840.0,0,1,0,0,0
BC,99.0,SF,25.0,235.0,78,6796117.0,0,0,0,1,0
Los Angeles Lakers,4.0,PF,25.0,230.0,83,1724250.0,0,1,0,0,0
Memphis Grizzlies,1.0,SF,25.0,230.0,77,9000000.0,0,0,0,1,0
Milwaukee Bucks,31.0,PF,25.0,229.0,83,2943221.0,0,1,0,0,0
Memphis Grizzlies,0.0,PF,25.0,227.0,81,845059.0,0,1,0,0,0
Indiana Pacers,44.0,SF,25.0,225.0,79,1358880.0,0,0,0,1,0
Houston Rockets,20.0,PF,25.0,222.0,84,2288205.0,0,1,0,0,0
Chicago Bulls,44.0,PF,25.0,220.0,82,5543725.0,0,1,0,0,0
Cleveland Cavaliers,4.0,SG,25.0,220.0,77,8988765.0,0,0,0,0,1
New Orleans Pelicans,25.0,SG,25.0,220.0,79,1015421.0,0,0,0,0,1
Philadelphia 76ers,33.0,SF,25.0,215.0,81,1000000.0,0,0,0,1,0
Phoenix Suns,23.0,SG,25.0,215.0,76,981348.0,0,0,0,0,1
Portland Trail Blazers,8.0,SF,25.0,215.0,81,8042895.0,0,0,0,1,0
New York Knicks,11.0,SF,25.0,210.0,80,845059.0,0,0,0,1,0
New Orleans Pelicans,4.0,SF,25.0,210.0,79,845059.0,0,0,0,1,0
Philadelphia 76ers,31.0,SG,25.0,206.0,80,947276.0,0,0,0,0,1
Detroit Pistons,25.0,SF,25.0,205.0,79,1252440.0,0,0,0,1,0
New Orleans Pelicans,11.0,PG,25.0,205.0,76,10595507.0,0,0,1,0,0
Philadelphia 76ers,0.0,PG,25.0,201.0,72,947276.0,0,0,1,0,0
Cleveland Cavaliers,8.0,PG,25.0,198.0,76,1147276.0,0,0,1,0,0
Toronto Raptors,31.0,SF,25.0,195.0,79,3553917.0,0,0,0,1,0
Los Angeles Clippers,30.0,SG,25.0,195.0,77,1159680.0,0,0,0,0,1
Milwaukee Bucks,9.0,SG,25.0,195.0,76,947276.0,0,0,0,0,1
Washington Wizards,2.0,PG,25.0,195.0,76,15851950.0,0,0,1,0,0
Portland Trail Blazers,0.0,PG,25.0,195.0,75,4236287.0,0,0,1,0,0
Minnesota Timberwolves,9.0,PG,25.0,194.0,76,12700000.0,0,0,1,0,0
Detroit Pistons,17.0,PG,25.0,189.0,77,111444.0,0,0,1,0,0
Sacramento Kings,30.0,SG,25.0,185.0,74,947276.0,0,0,0,0,1
BC,0.0,PG,25.0,180.0,74,7730337.0,0,0,1,0,0
Cleveland Cavaliers,12.0,SG,25.0,179.0,77,111196.0,0,0,0,0,1
Golden State Warriors,21.0,SG,25.0,175.0,75,947276.0,0,0,0,0,1
Phoenix Suns,25.0,PG,25.0,175.0,71,55722.0,0,0,1,0,0
Denver Nuggets,5.0,SF,25.0,175.0,78,3533333.0,0,0,0,1,0
New Orleans Pelicans,2.0,PG,25.0,170.0,73,845059.0,0,0,1,0,0
New York Knicks,1.0,C,26.0,278.0,82,2814000.0,1,0,0,0,0
Golden State Warriors,31.0,C,26.0,265.0,83,2008748.0,1,0,0,0,0
Milwaukee Bucks,15.0,C,26.0,265.0,83,16407500.0,1,0,0,0,0
Miami Heat,21.0,C,26.0,265.0,84,981348.0,1,0,0,0,0
Utah Jazz,21.0,C,26.0,256.0,87,2900000.0,1,0,0,0,0
BC,44.0,C,26.0,253.0,84,2616975.0,1,0,0,0,0
New York Knicks,9.0,PF,26.0,250.0,82,3750000.0,0,1,0,0,0
Orlando Magic,44.0,PF,26.0,250.0,81,2380593.0,0,1,0,0,0
Brooklyn Nets,14.0,C,26.0,248.0,82,947276.0,1,0,0,0,0
Orlando Magic,3.0,C,26.0,245.0,84,947276.0,1,0,0,0,0
Washington Wizards,5.0,PF,26.0,245.0,82,8000000.0,0,1,0,0,0
Oklahoma City Thunder,9.0,PF,26.0,245.0,82,12250000.0,0,1,0,0,0
Minnesota Timberwolves,5.0,C,26.0,241.0,83,1474440.0,1,0,0,0,0
Detroit Pistons,13.0,PF,26.0,235.0,81,5000000.0,0,1,0,0,0
Portland Trail Blazers,24.0,C,26.0,235.0,83,1415520.0,1,0,0,0,0
Utah Jazz,24.0,C,26.0,231.0,84,947276.0,1,0,0,0,0
Golden State Warriors,23.0,PF,26.0,230.0,79,14260870.0,0,1,0,0,0
Denver Nuggets,35.0,PF,26.0,228.0,80,11235955.0,0,1,0,0,0
Utah Jazz,20.0,SF,26.0,226.0,80,15409570.0,0,0,0,1,0
New Orleans Pelicans,8.0,SF,26.0,225.0,81,1100602.0,0,0,0,1,0
Brooklyn Nets,33.0,PF,26.0,220.0,82,947276.0,0,1,0,0,0
Toronto Raptors,10.0,SG,26.0,220.0,79,10050000.0,0,0,0,0,1
Chicago Bulls,21.0,SG,26.0,220.0,79,16407500.0,0,0,0,0,1
Indiana Pacers,13.0,SF,26.0,220.0,81,17120106.0,0,0,0,1,0
Houston Rockets,13.0,SG,26.0,220.0,77,15756438.0,0,0,0,0,1
New Orleans Pelicans,1.0,SG,26.0,220.0,78,10734586.0,0,0,0,0,1
Brooklyn Nets,6.0,SG,26.0,219.0,76,134215.0,0,0,0,0,1
Golden State Warriors,11.0,SG,26.0,215.0,79,15501000.0,0,0,0,0,1
Detroit Pistons,1.0,PG,26.0,208.0,75,13913044.0,0,0,1,0,0
Utah Jazz,23.0,SF,26.0,206.0,78,981348.0,0,0,0,1,0
Utah Jazz,8.0,PG,26.0,203.0,75,2433333.0,0,0,1,0,0
Atlanta Hawks,24.0,SF,26.0,201.0,77,2000000.0,0,0,0,1,0
San Antonio Spurs,17.0,SG,26.0,195.0,78,525093.0,0,0,0,0,1
Phoenix Suns,2.0,PG,26.0,190.0,73,13500000.0,0,0,1,0,0
Charlotte Hornets,15.0,PG,26.0,184.0,73,12000000.0,0,0,1,0,0
Orlando Magic,55.0,PG,26.0,169.0,73,8344497.0,0,0,1,0,0
San Antonio Spurs,40.0,C,27.0,290.0,87,1200000.0,1,0,0,0,0
Los Angeles Lakers,50.0,C,27.0,270.0,84,981348.0,1,0,0,0,0
Los Angeles Clippers,6.0,C,27.0,265.0,83,19689000.0,1,0,0,0,0
Sacramento Kings,41.0,C,27.0,265.0,84,7700000.0,1,0,0,0,0
Indiana Pacers,5.0,PF,27.0,255.0,81,4050000.0,0,1,0,0,0
Los Angeles Clippers,32.0,PF,27.0,251.0,82,18907726.0,0,1,0,0,0
Cleveland Cavaliers,0.0,PF,27.0,251.0,82,19689000.0,0,1,0,0,0
Los Angeles Clippers,45.0,C,27.0,250.0,83,1100602.0,1,0,0,0,0
Milwaukee Bucks,18.0,C,27.0,249.0,83,2109294.0,1,0,0,0,0
Washington Wizards,21.0,C,27.0,242.0,81,273038.0,1,0,0,0,0
Oklahoma City Thunder,35.0,SF,27.0,240.0,81,20158622.0,0,0,0,1,0
Portland Trail Blazers,17.0,C,27.0,240.0,82,6980802.0,1,0,0,0,0
Atlanta Hawks,32.0,PF,27.0,237.0,80,3333333.0,0,1,0,0,0
Toronto Raptors,54.0,PF,27.0,235.0,81,6268675.0,0,1,0,0,0
Houston Rockets,8.0,SF,27.0,235.0,82,306527.0,0,0,0,1,0
Dallas Mavericks,25.0,SF,27.0,230.0,82,15361500.0,0,0,0,1,0
Phoenix Suns,30.0,PF,27.0,228.0,82,1035000.0,0,1,0,0,0
Sacramento Kings,18.0,SF,27.0,225.0,81,2836186.0,0,0,0,1,0
Denver Nuggets,8.0,SF,27.0,225.0,82,14000000.0,0,0,0,1,0
Brooklyn Nets,30.0,PF,27.0,221.0,80,11235955.0,0,1,0,0,0
BC,11.0,SG,27.0,220.0,79,3425510.0,0,0,0,0,1
New Orleans Pelicans,0.0,SG,27.0,220.0,77,55722.0,0,0,0,0,1
Brooklyn Nets,44.0,SG,27.0,216.0,80,3425510.0,0,0,0,0,1
New Orleans Pelicans,10.0,SG,27.0,215.0,76,15514031.0,0,0,0,0,1
Sacramento Kings,5.0,SG,27.0,213.0,78,1015421.0,0,0,0,0,1
BC,30.0,SG,27.0,205.0,77,4842684.105381166,0,0,0,0,1
Milwaukee Bucks,19.0,PG,27.0,200.0,75,3000000.0,0,0,1,0,0
Houston Rockets,0.0,PG,27.0,200.0,75,200600.0,0,0,1,0,0
Charlotte Hornets,5.0,SG,27.0,200.0,80,13125306.0,0,0,0,0,1
Charlotte Hornets,7.0,PG,27.0,200.0,75,2139000.0,0,0,1,0,0
Oklahoma City Thunder,0.0,PG,27.0,200.0,75,16744218.0,0,0,1,0,0
Chicago Bulls,55.0,SG,27.0,191.0,76,1015421.0,0,0,0,0,1
Chicago Bulls,1.0,PG,27.0,190.0,75,20093064.0,0,0,1,0,0
Charlotte Hornets,12.0,PG,27.0,189.0,75,189455.0,0,0,1,0,0
Atlanta Hawks,0.0,PG,27.0,186.0,74,8000000.0,0,0,1,0,0
BC,4.0,PG,27.0,185.0,69,6912869.0,0,0,1,0,0
Chicago Bulls,7.0,SG,27.0,185.0,78,947276.0,0,0,0,0,1
Houston Rockets,2.0,PG,27.0,185.0,73,6486486.0,0,0,1,0,0
San Antonio Spurs,8.0,PG,27.0,185.0,72,3578947.0,0,0,1,0,0
Philadelphia 76ers,1.0,PG,27.0,175.0,72,947276.0,0,0,1,0,0
New Orleans Pelicans,30.0,PG,27.0,175.0,74,3036927.0,0,0,1,0,0
Brooklyn Nets,11.0,C,28.0,275.0,84,19689000.0,1,0,0,0,0
Dallas Mavericks,11.0,C,28.0,270.0,84,1270964.0,1,0,0,0,0
Memphis Grizzlies,35.0,PF,28.0,270.0,82,4842684.105381166,0,1,0,0,0
New York Knicks,8.0,C,28.0,255.0,84,12650000.0,1,0,0,0,0
Golden State Warriors,5.0,C,28.0,255.0,82,3815000.0,1,0,0,0,0
New Orleans Pelicans,42.0,C,28.0,248.0,86,4389607.0,1,0,0,0,0
Charlotte Hornets,0.0,PF,28.0,245.0,85,6110034.0,0,1,0,0,0
New Orleans Pelicans,33.0,PF,28.0,240.0,82,8500000.0,0,1,0,0,0
Minnesota Timberwolves,88.0,PF,28.0,240.0,82,3950001.0,0,1,0,0,0
New York Knicks,42.0,SF,28.0,235.0,80,1636842.0,0,0,0,1,0
Indiana Pacers,27.0,C,28.0,235.0,82,4000000.0,1,0,0,0,0
Denver Nuggets,0.0,PF,28.0,235.0,81,2814000.0,0,1,0,0,0
Oklahoma City Thunder,5.0,SF,28.0,228.0,80,4500000.0,0,0,0,1,0
Utah Jazz,33.0,PF,28.0,228.0,80,4775000.0,0,1,0,0,0
Utah Jazz,2.0,SF,28.0,226.0,80,2050000.0,0,0,0,1,0
New Orleans Pelicans,20.0,SF,28.0,220.0,79,3382023.0,0,0,0,1,0
Los Angeles Clippers,33.0,SF,28.0,215.0,79,1100602.0,0,0,0,1,0
San Antonio Spurs,14.0,SG,28.0,215.0,78,10000000.0,0,0,0,0,1
Portland Trail Blazers,9.0,SG,28.0,215.0,77,6000000.0,0,0,0,0,1
Detroit Pistons,20.0,SG,28.0,210.0,76,6270000.0,0,0,0,0,1
Milwaukee Bucks,3.0,SG,28.0,210.0,77,8000000.0,0,0,0,0,1
Memphis Grizzlies,34.0,PF,28.0,210.0,82,5464000.0,0,1,0,0,0
Phoenix Suns,10.0,SF,28.0,209.0,79,206192.0,0,0,0,1,0
Brooklyn Nets,15.0,PG,28.0,205.0,75,947276.0,0,0,1,0,0
Brooklyn Nets,21.0,SG,28.0,200.0,76,1500000.0,0,0,0,0,1
Dallas Mavericks,21.0,SF,28.0,200.0,81,1100602.0,0,0,0,1,0
Indiana Pacers,10.0,PG,28.0,195.0,71,211744.0,0,0,1,0,0
Golden State Warriors,30.0,PG,28.0,190.0,75,11370786.0,0,0,1,0,0
Denver Nuggets,12.0,PG,28.0,183.0,72,3000000.0,0,0,1,0,0
Sacramento Kings,7.0,PG,28.0,175.0,72,5013559.0,0,0,1,0,0
Memphis Grizzlies,11.0,PG,28.0,175.0,73,9588426.0,0,0,1,0,0
Cleveland Cavaliers,20.0,C,29.0,275.0,85,4950000.0,1,0,0,0,0
Los Angeles Lakers,17.0,C,29.0,270.0,86,15592217.0,1,0,0,0,0
Detroit Pistons,12.0,C,29.0,260.0,82,6500000.0,1,0,0,0,0
New Orleans Pelicans,3.0,C,29.0,255.0,84,9213483.0,1,0,0,0,0
Toronto Raptors,3.0,PF,29.0,250.0,81,2500000.0,0,1,0,0,0
Toronto Raptors,1.0,PF,29.0,250.0,83,245177.0,0,1,0,0,0
Los Angeles Clippers,19.0,PF,29.0,250.0,81,111444.0,0,1,0,0,0
Indiana Pacers,28.0,C,29.0,250.0,83,4000000.0,1,0,0,0,0
Dallas Mavericks,50.0,C,29.0,245.0,86,525093.0,1,0,0,0,0
BC,90.0,PF,29.0,240.0,81,12000000.0,0,1,0,0,0
Miami Heat,4.0,PF,29.0,240.0,82,5543725.0,0,1,0,0,0
Charlotte Hornets,2.0,PF,29.0,237.0,81,7000000.0,0,1,0,0,0
Los Angeles Clippers,8.0,SF,29.0,235.0,81,9650000.0,0,0,0,1,0
Orlando Magic,7.0,PF,29.0,235.0,82,7900000.0,0,1,0,0,0
BC,8.0,PF,29.0,231.0,82,5000000.0,0,1,0,0,0
Indiana Pacers,0.0,SF,29.0,231.0,78,4394225.0,0,0,0,1,0
Los Angeles Clippers,12.0,PF,29.0,230.0,80,947276.0,0,1,0,0,0
Sacramento Kings,8.0,SF,29.0,230.0,80,12403101.0,0,0,0,1,0
New Orleans Pelicans,44.0,PF,29.0,230.0,80,2850000.0,0,1,0,0,0
Minnesota Timberwolves,10.0,SF,29.0,230.0,81,1149500.0,0,0,0,1,0
New Orleans Pelicans,15.0,SF,29.0,225.0,78,1320000.0,0,0,0,1,0
Denver Nuggets,21.0,SF,29.0,225.0,80,10449438.0,0,0,0,1,0
Dallas Mavericks,23.0,SG,29.0,220.0,77,16407500.0,0,0,0,0,1
Milwaukee Bucks,21.0,PG,29.0,217.0,78,6600000.0,0,0,1,0,0
Toronto Raptors,5.0,SF,29.0,212.0,80,13600000.0,0,0,0,1,0
