,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
32,0.45,0.55,2.0,140,3.0,No,Yes,No,hr,low
33,0.84,0.87,4.0,246,6.0,No,Yes,No,hr,low
34,0.1,0.94,6.0,255,4.0,No,Yes,No,technical,low
35,0.38,0.46,2.0,137,3.0,No,Yes,No,technical,low
36,0.45,0.5,2.0,126,3.0,No,Yes,No,technical,low
37,0.11,0.89,6.0,306,4.0,No,Yes,No,technical,low
38,0.41,0.54,2.0,152,3.0,No,Yes,No,technical,low
39,0.87,0.88,5.0,269,5.0,No,Yes,No,technical,low
40,0.45,0.48,2.0,158,3.0,No,Yes,No,technical,low
41,0.4,0.46,2.0,127,3.0,No,Yes,No,technical,low
42,0.1,0.8,7.0,281,4.0,No,Yes,No,technical,low
43,0.09,0.89,6.0,276,4.0,No,Yes,No,technical,low
44,0.4,0.55,2.0,147,3.0,No,Yes,No,support,low
45,0.57,0.7,3.0,273,6.0,No,Yes,No,support,low
46,0.4,0.54,2.0,148,3.0,No,Yes,No,support,low
47,0.43,0.47,2.0,147,3.0,No,Yes,No,support,low
48,0.13,0.78,6.0,152,2.0,No,Yes,No,support,low
49,0.44,0.55,2.0,135,3.0,No,Yes,No,support,low
50,0.38,0.55,2.0,134,3.0,No,Yes,No,support,low
51,0.39,0.54,2.0,132,3.0,No,Yes,No,support,low
52,0.1,0.92,7.0,307,4.0,No,Yes,No,support,low
53,0.37,0.46,2.0,140,3.0,No,Yes,No,support,low
54,0.11,0.94,7.0,255,4.0,No,Yes,No,support,low
55,0.1,0.81,6.0,309,4.0,No,Yes,No,technical,low
56,0.38,0.54,2.0,128,3.0,No,Yes,No,technical,low
57,0.85,1.0,4.0,225,5.0,No,Yes,No,technical,low
58,0.85,0.91,5.0,226,5.0,No,Yes,No,management,medium
59,0.11,0.93,7.0,308,4.0,No,Yes,No,IT,medium
60,0.1,0.95,6.0,244,5.0,No,Yes,No,IT,medium
61,0.36,0.56,2.0,132,3.0,No,Yes,No,IT,medium
62,0.11,0.94,6.0,286,4.0,No,Yes,No,IT,medium
63,0.81,0.7,6.0,161,4.0,No,Yes,No,IT,medium
64,0.43,0.54,2.0,153,3.0,No,Yes,No,product_mng,medium
65,0.9,0.98,4.0,264,6.0,No,Yes,No,product_mng,medium
66,0.76,0.86,5.0,223,5.0,Yes,Yes,No,product_mng,medium
67,0.43,0.5,2.0,135,3.0,No,Yes,No,product_mng,medium
68,0.74,0.99,2.0,277,3.0,No,Yes,No,IT,medium
69,0.09,0.77,5.0,275,4.0,No,Yes,No,product_mng,medium
70,0.45,0.49,2.0,149,3.0,No,Yes,No,product_mng,high
71,0.09,0.87,7.0,295,4.0,No,Yes,No,product_mng,low
72,0.11,0.97,6.0,277,4.0,No,Yes,No,product_mng,medium
73,0.11,0.79,7.0,306,4.0,No,Yes,No,product_mng,medium
74,0.1,0.83,6.0,295,4.0,No,Yes,No,product_mng,medium
75,0.4,0.54,2.0,137,3.0,No,Yes,No,marketing,medium
76,0.43,0.56,2.0,157,3.0,No,Yes,No,sales,low
77,0.39,0.56,2.0,142,3.0,No,Yes,No,accounting,low
78,0.45,0.54,2.0,140,3.0,No,Yes,No,support,low
79,0.38,0.49,2.0,151,3.0,No,Yes,No,technical,low
80,0.79,0.59,4.0,139,3.0,No,Yes,Yes,management,low
81,0.84,0.85,4.0,249,6.0,No,Yes,No,marketing,low
82,0.11,0.77,6.0,291,4.0,No,Yes,No,marketing,low
83,0.11,0.87,6.0,305,4.0,No,Yes,No,marketing,low
84,0.17,0.84,5.0,232,3.0,No,Yes,No,sales,low
85,0.44,0.45,2.0,132,3.0,No,Yes,No,sales,low
86,0.37,0.57,2.0,130,3.0,No,Yes,No,sales,low
87,0.1,0.79,6.0,291,4.0,No,Yes,No,sales,low
88,0.4,0.5,2.0,130,3.0,No,Yes,No,sales,low
89,0.89,1.0,5.0,246,5.0,No,Yes,No,sales,low
90,0.42,0.48,2.0,143,3.0,No,Yes,No,sales,low
91,0.46,0.55,2.0,129,3.0,No,Yes,No,sales,low
92,0.09,0.83,6.0,255,4.0,No,Yes,No,sales,low
93,0.37,0.51,2.0,155,3.0,No,Yes,No,sales,low
94,0.1,0.77,6.0,265,4.0,No,Yes,No,sales,low
95,0.1,0.84,6.0,279,4.0,No,Yes,No,sales,low
96,0.11,0.97,6.0,284,4.0,No,Yes,No,sales,low
97,0.9,1.0,5.0,221,6.0,No,Yes,No,sales,medium
98,0.38,0.52,2.0,154,3.0,No,Yes,No,sales,medium
99,0.36,0.52,2.0,147,3.0,No,Yes,No,sales,medium
100,0.42,0.46,2.0,150,3.0,No,Yes,No,sales,medium
101,0.09,0.94,7.0,267,4.0,No,Yes,No,sales,medium
102,0.43,0.52,2.0,158,3.0,No,Yes,No,sales,medium
103,0.24,0.46,7.0,224,5.0,No,Yes,No,accounting,medium
104,0.91,1.0,4.0,257,5.0,No,Yes,No,accounting,medium
105,0.44,0.5,2.0,148,3.0,No,Yes,No,accounting,medium
106,0.71,0.87,3.0,177,4.0,No,Yes,No,hr,medium
107,0.4,0.49,2.0,155,3.0,No,Yes,No,hr,medium
108,0.43,0.47,2.0,144,3.0,No,Yes,No,hr,medium
109,0.09,0.85,6.0,289,4.0,No,Yes,No,hr,high
110,0.43,0.52,2.0,160,3.0,No,Yes,No,technical,low
111,0.9,0.96,4.0,258,5.0,No,Yes,No,technical,medium
112,0.84,1.0,5.0,234,5.0,No,Yes,No,technical,medium
113,0.37,0.48,2.0,137,3.0,No,Yes,No,technical,medium
114,0.86,0.68,5.0,263,2.0,No,Yes,No,technical,medium
115,0.11,0.84,6.0,251,4.0,No,Yes,No,technical,low
116,0.37,0.57,2.0,133,3.0,No,Yes,No,technical,low
117,0.4,0.46,2.0,132,3.0,No,Yes,No,technical,low
118,0.14,0.62,4.0,158,4.0,Yes,Yes,No,technical,low
119,0.4,0.46,2.0,135,3.0,No,Yes,No,technical,low
120,0.75,1.0,4.0,216,6.0,No,Yes,No,technical,low
121,0.11,0.84,6.0,300,5.0,Yes,Yes,No,support,low
122,0.46,0.49,2.0,138,3.0,No,Yes,No,support,low
123,0.11,0.92,6.0,260,4.0,No,Yes,No,support,low
124,0.38,0.49,2.0,132,3.0,No,Yes,No,support,low
125,0.7,0.89,3.0,183,5.0,No,Yes,No,support,low
126,0.09,0.82,6.0,250,4.0,No,Yes,No,support,low
127,0.37,0.45,2.0,151,3.0,No,Yes,No,support,low
128,0.1,0.83,6.0,292,4.0,No,Yes,No,support,low
129,0.38,0.57,2.0,140,3.0,No,Yes,No,support,low
130,0.9,1.0,5.0,221,5.0,No,Yes,No,support,low
131,0.44,0.51,2.0,138,3.0,No,Yes,No,support,low
132,0.36,0.5,2.0,132,3.0,No,Yes,No,technical,low
133,0.31,0.84,7.0,133,5.0,No,Yes,No,technical,low
134,0.1,0.84,6.0,283,4.0,Yes,Yes,No,technical,low
135,0.42,0.48,2.0,129,3.0,No,Yes,No,management,low
136,0.74,1.0,4.0,249,5.0,No,Yes,No,IT,low
137,0.73,0.87,5.0,257,5.0,No,Yes,No,IT,low
138,0.09,0.96,6.0,245,4.0,No,Yes,No,IT,low
139,0.11,0.8,6.0,256,4.0,No,Yes,No,IT,low
140,0.37,0.47,2.0,152,3.0,No,Yes,No,product_mng,low
141,0.84,0.99,4.0,267,5.0,No,Yes,No,product_mng,low
142,0.41,0.46,2.0,151,3.0,No,Yes,No,product_mng,low
143,0.76,0.92,4.0,239,5.0,No,Yes,No,product_mng,low
144,0.11,0.87,6.0,306,4.0,No,Yes,No,IT,low
145,0.84,0.88,4.0,263,5.0,Yes,Yes,No,marketing,low
146,0.39,0.5,2.0,147,3.0,No,Yes,No,marketing,low
147,0.11,0.91,6.0,278,4.0,No,Yes,No,marketing,low
148,0.45,0.56,2.0,154,3.0,No,Yes,No,marketing,low
149,0.37,0.52,2.0,143,3.0,No,Yes,No,marketing,low
150,0.4,0.52,2.0,155,3.0,No,Yes,No,marketing,low
151,0.39,0.48,2.0,160,3.0,No,Yes,No,sales,low
152,0.11,0.8,6.0,304,4.0,No,Yes,No,accounting,low
153,0.83,1.0,5.0,240,5.0,No,Yes,No,support,low
154,0.11,0.92,6.0,305,4.0,No,Yes,No,technical,low
155,0.39,0.5,2.0,136,3.0,No,Yes,No,management,low
156,0.45,0.45,2.0,132,3.0,No,Yes,No,marketing,low
157,0.1,0.95,7.0,301,4.0,No,Yes,No,marketing,low
158,0.9,0.98,5.0,243,6.0,No,Yes,No,marketing,low
159,0.45,0.51,2.0,147,3.0,No,Yes,No,sales,low
160,0.79,0.89,5.0,239,5.0,No,Yes,No,sales,low
161,0.9,0.99,5.0,260,5.0,No,Yes,No,sales,low
162,0.11,0.84,7.0,296,4.0,No,Yes,No,sales,low
163,0.43,0.55,2.0,129,3.0,No,Yes,No,sales,low
164,0.31,0.54,5.0,132,5.0,No,Yes,No,sales,low
165,0.32,0.5,2.0,135,5.0,No,Yes,No,sales,low
166,0.45,0.57,2.0,158,3.0,No,Yes,No,sales,low
167,0.81,0.99,4.0,259,5.0,No,Yes,No,sales,low
168,0.41,0.46,2.0,160,3.0,No,Yes,Yes,sales,low
169,0.11,0.78,7.0,278,4.0,No,Yes,No,sales,low
170,0.1,0.88,6.0,284,4.0,No,Yes,No,sales,low
171,0.54,0.74,4.0,164,2.0,No,Yes,No,sales,low
172,0.41,0.48,2.0,148,3.0,No,Yes,No,sales,low
173,0.38,0.5,2.0,140,3.0,No,Yes,No,sales,medium
174,0.37,0.51,2.0,127,3.0,No,Yes,No,sales,medium
175,0.11,0.85,6.0,308,5.0,No,Yes,No,sales,medium
176,0.4,0.47,2.0,146,3.0,No,Yes,No,sales,medium
177,0.1,0.84,6.0,261,4.0,No,Yes,No,accounting,medium
178,0.11,0.8,6.0,285,4.0,No,Yes,No,accounting,medium
179,0.36,0.55,2.0,141,3.0,No,Yes,No,hr,medium
180,0.4,0.46,2.0,127,3.0,No,Yes,No,hr,medium
181,0.09,0.85,6.0,297,4.0,No,Yes,No,hr,medium
182,0.4,0.46,2.0,143,3.0,No,Yes,No,hr,medium
183,0.37,0.55,2.0,152,3.0,No,Yes,No,technical,medium
184,0.44,0.51,2.0,156,3.0,No,Yes,No,technical,high
185,0.09,0.8,7.0,283,5.0,No,Yes,No,technical,low
186,0.92,0.87,4.0,226,6.0,Yes,Yes,No,technical,medium
187,0.74,0.91,4.0,232,5.0,No,Yes,No,technical,medium
188,0.09,0.82,6.0,249,4.0,No,Yes,No,technical,medium
189,0.89,0.95,4.0,275,5.0,No,Yes,No,technical,medium
190,0.09,0.8,6.0,304,4.0,No,Yes,No,technical,low
191,0.27,0.54,7.0,278,3.0,No,Yes,No,technical,low
192,0.1,0.91,6.0,287,4.0,No,Yes,No,technical,low
193,0.1,0.89,7.0,285,4.0,No,Yes,No,technical,low
194,0.77,0.94,5.0,226,6.0,No,Yes,No,support,low
195,0.9,0.82,5.0,259,5.0,No,Yes,No,support,low
196,0.39,0.5,2.0,135,3.0,No,Yes,No,support,low
197,0.76,1.0,5.0,219,5.0,No,Yes,No,support,low
198,0.1,0.93,6.0,256,4.0,No,Yes,No,support,low
199,0.87,0.9,5.0,254,6.0,No,Yes,No,support,low
200,0.38,0.5,2.0,153,3.0,No,Yes,No,support,low
201,0.77,0.99,5.0,228,5.0,No,Yes,No,support,low
202,0.78,0.87,4.0,228,5.0,No,Yes,No,support,low
203,0.44,0.5,2.0,128,3.0,No,Yes,No,support,low
204,0.38,0.52,2.0,153,3.0,No,Yes,No,support,low
205,0.39,0.5,4.0,294,3.0,No,Yes,No,technical,low
206,0.88,1.0,5.0,219,5.0,No,Yes,No,technical,low
207,0.45,0.46,2.0,153,3.0,No,Yes,No,management,low
208,0.4,0.53,2.0,151,3.0,No,Yes,No,IT,low
209,0.36,0.51,2.0,155,3.0,No,Yes,No,IT,low
210,0.36,0.48,2.0,158,3.0,No,Yes,No,IT,low
211,0.9,0.98,5.0,245,5.0,No,Yes,No,IT,low
212,0.43,0.53,2.0,131,3.0,No,Yes,No,IT,low
213,0.89,0.87,5.0,225,5.0,No,Yes,No,product_mng,low
214,0.1,0.84,6.0,286,4.0,No,Yes,No,product_mng,low
215,0.37,0.5,2.0,135,3.0,No,Yes,No,product_mng,low
216,0.37,0.51,2.0,153,3.0,No,Yes,No,product_mng,low
217,0.87,0.9,5.0,252,5.0,No,Yes,No,IT,low
218,0.4,0.56,2.0,149,3.0,No,Yes,No,accounting,low
219,0.9,0.97,4.0,258,5.0,No,Yes,No,accounting,low
220,0.37,0.46,2.0,158,3.0,No,Yes,No,hr,low
221,0.44,0.54,2.0,149,3.0,No,Yes,No,hr,low
222,0.85,0.95,5.0,236,5.0,No,Yes,No,hr,low
223,0.78,0.98,5.0,239,6.0,No,Yes,No,marketing,low
224,0.42,0.47,2.0,159,3.0,No,Yes,No,marketing,low
225,0.92,0.99,5.0,255,6.0,No,Yes,No,sales,low
226,0.11,0.83,6.0,244,4.0,No,Yes,No,accounting,low
227,0.42,0.56,2.0,134,3.0,No,Yes,No,support,low
228,0.48,0.57,4.0,270,4.0,No,Yes,No,technical,low
229,0.83,0.85,4.0,255,5.0,No,Yes,No,management,low
230,0.4,0.53,2.0,151,3.0,No,Yes,No,marketing,low
231,0.43,0.45,2.0,135,3.0,No,Yes,No,marketing,low
232,0.43,0.53,2.0,146,3.0,No,Yes,No,marketing,low
233,0.1,0.97,7.0,254,4.0,No,Yes,No,sales,low
234,0.1,0.87,7.0,289,4.0,No,Yes,No,sales,low
235,0.37,0.46,2.0,156,3.0,No,Yes,No,sales,low
236,0.38,0.53,2.0,156,3.0,No,Yes,No,sales,low
237,0.4,0.5,2.0,128,3.0,No,Yes,No,sales,low
238,0.89,0.86,5.0,275,5.0,No,Yes,No,sales,low
239,0.45,0.46,2.0,155,3.0,No,Yes,No,sales,low
240,0.37,0.48,2.0,159,3.0,No,Yes,No,sales,low
241,0.46,0.49,2.0,148,3.0,No,Yes,No,sales,low
242,0.87,0.91,4.0,228,5.0,No,Yes,No,sales,low
243,0.11,0.84,6.0,298,4.0,No,Yes,No,sales,low
244,0.79,0.87,5.0,261,5.0,No,Yes,No,sales,low
245,0.79,0.92,5.0,254,6.0,No,Yes,No,sales,low
246,0.19,0.59,7.0,192,3.0,No,Yes,No,sales,low
247,0.87,0.98,4.0,248,5.0,No,Yes,No,sales,low
248,0.6,0.92,2.0,258,5.0,No,Yes,No,sales,low
249,0.44,0.45,2.0,156,3.0,No,Yes,No,sales,medium
250,0.11,0.81,6.0,266,4.0,Yes,Yes,No,sales,medium
251,0.42,0.54,2.0,156,3.0,No,Yes,No,sales,medium
252,0.88,0.88,5.0,232,5.0,Yes,Yes,No,accounting,medium
253,0.11,0.84,6.0,287,4.0,No,Yes,No,accounting,medium
254,0.46,0.46,2.0,154,3.0,No,Yes,No,accounting,medium
255,0.82,0.97,5.0,263,5.0,No,Yes,No,hr,medium
256,0.44,0.56,2.0,131,3.0,No,Yes,No,hr,medium
257,0.11,0.78,6.0,260,4.0,No,Yes,No,hr,medium
258,0.42,0.5,2.0,139,3.0,No,Yes,No,hr,medium
259,0.84,0.93,4.0,251,5.0,No,Yes,No,technical,medium
260,0.11,0.95,6.0,286,4.0,No,Yes,No,technical,medium
261,0.45,0.53,2.0,129,3.0,No,Yes,No,technical,high
262,0.38,0.56,2.0,156,3.0,No,Yes,No,technical,low
263,0.38,0.86,6.0,139,6.0,No,Yes,No,technical,medium
264,0.44,0.51,2.0,127,3.0,No,Yes,No,technical,medium
265,0.11,0.84,6.0,251,4.0,No,Yes,No,technical,medium
266,0.81,0.93,5.0,270,5.0,No,Yes,No,technical,medium
267,0.09,0.96,6.0,296,4.0,No,Yes,No,technical,low
268,0.11,0.9,6.0,254,4.0,No,Yes,No,technical,low
269,0.81,0.95,5.0,238,6.0,No,Yes,No,technical,low
270,0.1,0.97,6.0,267,4.0,Yes,Yes,No,support,low
271,0.74,0.89,5.0,229,6.0,No,Yes,No,support,low
272,0.09,0.78,6.0,254,4.0,No,Yes,No,support,low
273,0.82,0.81,4.0,233,4.0,Yes,Yes,No,support,low
274,0.1,0.98,6.0,268,4.0,No,Yes,No,support,low
275,0.27,0.56,3.0,301,3.0,No,Yes,No,support,low
276,0.83,0.92,5.0,267,6.0,No,Yes,No,support,low
277,0.1,0.93,6.0,289,4.0,Yes,Yes,No,support,low
278,0.38,0.47,2.0,144,3.0,No,Yes,No,support,low
279,0.4,0.56,2.0,148,3.0,No,Yes,No,support,low
280,0.11,0.83,6.0,306,4.0,No,Yes,No,support,low
281,0.11,0.79,6.0,292,4.0,No,Yes,Yes,technical,low
282,0.82,0.91,5.0,232,5.0,No,Yes,No,technical,low
283,0.36,0.48,2.0,137,3.0,No,Yes,No,technical,low
284,0.4,0.46,2.0,128,3.0,No,Yes,No,management,low
285,0.87,0.84,5.0,231,5.0,No,Yes,No,IT,low
286,0.41,0.49,2.0,146,3.0,No,Yes,No,IT,low
287,0.11,0.91,6.0,308,4.0,Yes,Yes,No,IT,low
288,0.1,0.93,6.0,253,4.0,No,Yes,No,IT,medium
289,0.38,0.51,2.0,146,3.0,No,Yes,No,IT,medium
290,0.39,0.55,2.0,156,3.0,No,Yes,No,product_mng,medium
291,0.4,0.52,2.0,147,3.0,No,Yes,No,product_mng,medium
292,0.45,0.48,2.0,136,3.0,No,Yes,No,product_mng,medium
293,0.74,0.84,5.0,249,5.0,No,Yes,No,product_mng,medium
294,0.45,0.55,2.0,151,3.0,No,Yes,No,IT,medium
295,0.12,1.0,3.0,278,4.0,No,Yes,No,RandD,medium
296,0.1,0.77,7.0,250,5.0,No,Yes,No,RandD,medium
297,0.37,0.55,2.0,127,3.0,No,Yes,No,RandD,medium
298,0.89,0.87,5.0,255,5.0,No,Yes,No,RandD,medium
299,0.45,0.47,2.0,135,3.0,No,Yes,No,RandD,medium
300,0.37,0.46,2.0,149,3.0,No,Yes,No,marketing,high
301,0.11,0.81,5.0,287,4.0,No,Yes,No,sales,low
302,0.41,0.48,2.0,145,3.0,No,Yes,No,accounting,medium
303,0.1,0.94,6.0,285,4.0,No,Yes,No,support,medium
304,0.1,0.93,7.0,305,4.0,No,Yes,No,technical,medium
305,0.11,0.95,7.0,300,4.0,No,Yes,No,management,medium
306,0.4,0.54,2.0,139,3.0,No,Yes,No,marketing,low
307,0.41,0.49,2.0,130,3.0,No,Yes,No,marketing,low
308,0.1,0.81,6.0,268,4.0,No,Yes,No,marketing,low
309,0.73,0.86,4.0,245,6.0,No,Yes,No,sales,low
310,0.43,0.47,2.0,135,3.0,No,Yes,No,sales,low
311,0.37,0.46,2.0,153,3.0,No,Yes,No,sales,low
312,0.11,0.94,6.0,276,4.0,No,Yes,No,sales,low
313,0.4,0.46,2.0,130,3.0,No,Yes,No,sales,low
314,0.41,0.54,2.0,153,3.0,Yes,Yes,No,sales,low
315,0.82,0.84,5.0,244,5.0,No,Yes,No,sales,low
316,0.61,0.47,2.0,253,3.0,No,Yes,No,sales,low
317,0.11,0.91,7.0,287,4.0,No,Yes,No,sales,low
318,0.37,0.45,2.0,131,3.0,No,Yes,No,sales,low
319,0.41,0.52,2.0,135,3.0,No,Yes,No,sales,low
320,0.37,0.52,2.0,157,3.0,No,Yes,No,sales,low
321,0.88,0.99,5.0,262,6.0,No,Yes,No,sales,low
322,0.1,0.85,6.0,266,4.0,No,Yes,No,sales,low
323,0.44,0.48,2.0,148,3.0,No,Yes,No,sales,low
324,0.38,0.57,2.0,140,3.0,No,Yes,No,sales,low
325,0.11,0.85,7.0,302,4.0,No,Yes,No,sales,low
326,0.09,0.98,6.0,271,4.0,No,Yes,No,sales,low
327,0.45,0.52,2.0,145,3.0,No,Yes,No,sales,medium
328,0.1,0.81,6.0,290,4.0,No,Yes,No,accounting,medium
329,0.45,0.47,2.0,151,3.0,No,Yes,No,accounting,medium
330,0.77,0.87,5.0,266,5.0,No,Yes,No,accounting,medium
331,0.44,0.51,2.0,140,3.0,No,Yes,No,hr,medium
332,0.39,0.5,2.0,142,3.0,No,Yes,No,hr,medium
333,0.1,0.91,6.0,246,4.0,No,Yes,No,hr,medium
334,0.09,0.89,7.0,308,5.0,No,Yes,No,hr,medium
335,0.37,0.47,2.0,141,3.0,No,Yes,No,technical,medium
336,0.9,1.0,5.0,232,5.0,No,Yes,No,technical,medium
337,0.41,0.56,2.0,143,3.0,No,Yes,No,technical,medium
338,0.37,0.52,2.0,155,3.0,No,Yes,No,technical,medium
339,0.1,0.86,6.0,278,4.0,No,Yes,No,technical,high
340,0.81,1.0,4.0,253,5.0,No,Yes,No,technical,low
341,0.11,0.8,6.0,282,4.0,No,Yes,No,technical,medium
342,0.11,0.84,7.0,264,4.0,No,Yes,No,technical,medium
343,0.4,0.46,2.0,149,3.0,No,Yes,No,technical,medium
344,0.09,0.8,6.0,304,5.0,No,Yes,No,technical,medium
345,0.48,0.93,3.0,219,6.0,No,Yes,No,technical,low
346,0.91,0.91,4.0,262,6.0,No,Yes,No,support,low
347,0.43,0.57,2.0,135,3.0,No,Yes,No,support,low
348,0.41,0.57,2.0,136,3.0,No,Yes,No,support,low
349,0.41,0.55,2.0,154,3.0,No,Yes,No,support,low
350,0.37,0.54,2.0,149,3.0,No,Yes,No,support,low
351,0.31,0.62,6.0,135,5.0,No,Yes,No,support,low
352,0.09,0.91,6.0,275,4.0,No,Yes,No,support,low
353,0.1,0.87,6.0,290,4.0,No,Yes,No,support,low
354,0.76,0.9,4.0,263,5.0,No,Yes,No,support,low
355,0.41,0.54,2.0,145,3.0,No,Yes,No,support,low
356,0.72,0.96,5.0,267,5.0,No,Yes,No,technical,low
357,0.4,0.5,2.0,141,3.0,Yes,Yes,No,technical,low
358,0.91,0.87,4.0,235,5.0,No,Yes,No,technical,low
359,0.1,0.83,6.0,258,4.0,No,Yes,No,management,low
360,0.4,0.56,2.0,131,3.0,No,Yes,No,IT,low
361,0.82,0.86,5.0,243,5.0,No,Yes,No,IT,low
362,0.1,0.82,6.0,266,4.0,No,Yes,No,IT,low
363,0.37,0.45,2.0,142,3.0,No,Yes,No,IT,low
364,0.36,0.51,2.0,135,3.0,No,Yes,No,IT,low
365,0.39,0.48,2.0,141,3.0,No,Yes,No,product_mng,medium
366,0.36,0.57,2.0,142,3.0,No,Yes,No,product_mng,medium
367,0.86,0.84,5.0,254,5.0,No,Yes,No,product_mng,medium
368,0.73,0.99,5.0,262,5.0,No,Yes,No,product_mng,medium
369,0.56,0.71,4.0,296,2.0,No,Yes,No,IT,medium
370,0.44,0.56,2.0,158,3.0,No,Yes,No,accounting,medium
371,0.31,0.56,4.0,238,2.0,No,Yes,No,accounting,medium
372,0.77,0.93,4.0,231,5.0,No,Yes,No,hr,medium
373,0.44,0.45,2.0,156,3.0,No,Yes,No,hr,medium
374,0.38,0.46,2.0,145,3.0,No,Yes,No,hr,medium
375,0.45,0.48,2.0,144,3.0,No,Yes,No,marketing,medium
376,0.38,0.51,2.0,159,3.0,No,Yes,No,sales,medium
377,0.36,0.48,2.0,156,3.0,No,Yes,No,accounting,high
378,0.75,0.9,5.0,256,5.0,No,Yes,No,support,low
379,0.1,0.93,6.0,298,4.0,No,Yes,No,technical,medium
380,0.1,0.97,6.0,247,4.0,No,Yes,No,management,medium
381,0.45,0.5,2.0,157,3.0,No,Yes,No,marketing,medium
382,0.42,0.57,2.0,154,3.0,Yes,Yes,No,marketing,medium
383,0.78,1.0,4.0,253,5.0,No,Yes,No,marketing,low
384,0.45,0.55,2.0,148,3.0,No,Yes,No,sales,low
385,0.84,1.0,4.0,261,5.0,No,Yes,No,sales,low
386,0.11,0.93,6.0,282,4.0,No,Yes,No,sales,low
387,0.42,0.56,2.0,133,3.0,No,Yes,No,sales,low
388,0.45,0.46,2.0,128,3.0,No,Yes,No,sales,low
389,0.46,0.57,2.0,139,3.0,No,Yes,No,sales,low
390,0.09,0.79,6.0,293,5.0,No,Yes,No,sales,low
391,0.87,0.83,4.0,265,6.0,No,Yes,No,sales,low
392,0.1,0.87,6.0,250,4.0,No,Yes,No,sales,low
393,0.91,1.0,5.0,251,6.0,No,Yes,No,sales,low
394,0.76,0.92,4.0,246,5.0,No,Yes,No,sales,low
395,0.74,1.0,5.0,275,5.0,No,Yes,No,sales,low
396,0.92,0.93,5.0,240,5.0,No,Yes,No,sales,low
397,0.76,0.87,5.0,245,5.0,No,Yes,No,sales,low
398,0.47,0.5,4.0,254,4.0,No,Yes,No,sales,low
399,0.73,0.99,5.0,241,5.0,No,Yes,No,sales,low
400,0.09,0.94,6.0,257,4.0,No,Yes,No,sales,low
401,0.91,0.92,4.0,246,5.0,No,Yes,No,sales,low
402,0.82,0.98,4.0,233,5.0,No,Yes,No,sales,low
403,0.28,0.45,6.0,218,4.0,No,Yes,No,accounting,low
404,0.84,0.99,4.0,262,6.0,No,Yes,No,accounting,medium
405,0.45,0.53,2.0,138,3.0,No,Yes,No,accounting,medium
406,0.45,0.54,2.0,142,3.0,No,Yes,No,hr,medium
407,0.91,0.97,5.0,233,5.0,No,Yes,No,hr,medium
408,0.42,0.48,2.0,155,3.0,No,Yes,No,hr,medium
409,0.82,1.0,4.0,229,6.0,No,Yes,No,hr,medium
410,0.11,0.9,6.0,264,4.0,No,Yes,No,technical,medium
411,0.42,0.53,3.0,199,4.0,No,Yes,No,technical,medium
412,0.82,0.85,4.0,223,5.0,No,Yes,No,technical,medium
413,0.09,0.96,6.0,268,4.0,No,Yes,No,technical,medium
